Object, x, y
sheep1, -1.4, 5.4
sheep2, 1.2, 1.5
sheep3, -3.0, 4.6
sheep4, -5.0, 0.5
sheep5, 4.5, 1.5
Coke1, -4.2, 7.5
Coke2, -1.9, 3.3
Coke3, 2.0, 3.7
Coke4, -2.1, -2.1
Coke5, 4.9, 6.1
Marker5, 0.000000, 9.588080
Marker10, 2.787812, -1.428406
Marker14, -0.814261, -2.377696
Marker16, 2.977103, 0.119175
Marker21, 0.429226, 3.698870
Marker26, 5.992374, 3.962969
Marker27, -3.035026, 0.637782
Marker31, -5.365987, 5.297369
Marker34, -2.261206, 5.420754
Marker37, 2.644535, 7.385123
